ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
36	Sltm	NA	chrNC_000075.6	+	70573456	70573925	70573510	70573925	70572148	70572176	36	2	3	0,2	1	203	149	1	1.0	0.329,NA	0.0,1.0	-0.171
40	Rnf111	NA	chrNC_000075.6	-	70429551	70429679	70429551	70429655	70430930	70431026	40	1	1	0	0,2	173	149	1	1.0	0.463,NA	NA,0.0	0.463
41	Rnf111	NA	chrNC_000075.6	-	70442271	70442424	70442271	70442397	70443401	70443750	41	2	4,2	0	1,2	176	149	0.69293443876	1.0	0.297,0.0	0.0,0.0	0.148
46	Myo9a	NA	chrNC_000075.6	+	59875198	59875414	59875201	59875414	59874601	59874683	46	1	1	0,2	0	152	149	1	1.0	0.495,NA	NA,1.0	-0.505
55	Hacd3	NA	chrNC_000075.6	-	64998194	65000177	64998194	64998322	65000980	65001091	55	2	1,1	1,2	0	298	149	0.0114899364109	0.10526809388221618	0.5,0.0	1.0,1.0	-0.75
56	Aagab	NA	chrNC_000075.6	+	63636383	63636483	63636386	63636483	63635304	63635387	56	1	0	1	1	152	149	1	1.0	1.0,NA	0.495,NA	0.505
59	Parp6	NA	chrNC_000075.6	+	59640036	59640149	59640039	59640149	59639763	59639812	59	1	0	0	2	152	149	1	1.0	1.0,NA	0.0,NA	1.0
85	Zmynd8	NA	chrNC_000068.7	-	165846020	165846239	165846020	165846164	165851999	165852148	85	18	4	0	0,1	224	149	1	1.0	0.75,NA	NA,0.0	0.75
103	Ccdc153	NA	chrNC_000075.6	+	44246735	44246943	44246756	44246943	44245711	44245842	103	1	1,1	5,6	1,2	170	149	0.00197551826457	0.03196747737213273	0.467,0.0	0.814,0.724	-0.535
112	Ldlr	NA	chrNC_000075.6	+	21731746	21731869	21731749	21731869	21723575	21723844	112	41,32	1,2	0,2	0	152	149	1	1.0	0.976,0.94	NA,1.0	-0.042
